album_rank,album_id,album_name,artist_name,main_genre,total_year_end_score
1,4LH4d3cOWNNsVw41Gqt2kv,"The Dark Side of the Moon","Pink Floyd","Rock",630093
2,1Gtf2hZQlOGVER16uemmzR,"Journey's Greatest Hits",Journey,"Rock",251240
3,4jKeipwuUTjlx9USNYdhZn,"Legend: The Best Of...","Bob Marley & The Wailers","Reggae",250052
4,2Kh43m04B1UkVcpcRa1Zug,Metallica,Metallica,"Rock",236526
5,3OUWMcgPTQIElaufktjDLK,"Greatest Hits","Guns N' Roses","Rock",191223
6,1zUY4PAFrNUOCeaEBrEHzh,"Curtain Call: The Hits",Eminem,"Hip Hop",174900
7,2uEf3r9i2bnxwJQsxQ0xQ7,Nevermind,Nirvana,"Rock",170243
8,6J84szYCnMfzEcvIcfWMFL,"Doo-Wops & Hooligans","Bruno Mars","Pop",160598
9,1azUkThwd2HfUDdeNeT147,21,Adele,"Blues & Soul",156615
10,0BwWUstDMUbgq2NYONRqlu,Rumours,"Fleetwood Mac","Rock",152767
11,2cWBwpqMsDJC1ZUwz813lo,"The Eminem Show",Eminem,"Hip Hop",134746
12,1C2h7mLntPSeVYciMRTF4a,Thriller,"Michael Jackson","Pop",131840
13,7vEJAtP3KgKSpOHVgwm3Eh,1,"The Beatles","Rock",129778
14,5VoeRuTrGhTbKelUfwymwu,"Born To Die","Lana Del Rey","Pop",124532
15,44Ig8dzqOkvkGDzaUof9lK,"Led Zeppelin IV","Led Zeppelin","Rock",124034
16,6mUdeDZCsExyJLMdAfDuwh,"Back In Black",AC/DC,"Rock",123762
17,6nxDQi0FeEwccEPJeNySoS,"Night Visions","Imagine Dragons","Rock",118455
18,748dZDqSZy6aPXKcI9H80u,"good kid, m.A.A.d city","Kendrick Lamar","Hip Hop",115559
19,47BiFcV59TQi2s9SkBo2pb,Recovery,Eminem,"Hip Hop",115360
20,12n11cgnpjXKLeqrnIERoS,Tapestry,"Carole King","Jazz",114110
21,1uG9cIT7IRuq9NqFvKFUsI,"Greatest Hits",Queen,"Rock",113460
22,6X1x82kppWZmDzlXXK3y3q,"Take Care",Drake,"Hip Hop",106656
23,3q6Bz38jmqRDkXI7j5Hb9Y,"Greatest Hits","Tom Petty and the Heartbreakers","Rock",103381
24,0ETFjACtuP2ADo6LFhL6HN,"Abbey Road","The Beatles","Rock",99041
25,0aqZJlugIkTUWW1sa4BANp,"Hot Rocks 1964-1971","The Rolling Stones","Rock",98766
