year,genre,word,count
1964,Avant-Garde & Experimental,one,15
1964,Avant-Garde & Experimental,look,10
1964,Avant-Garde & Experimental,took,7
1964,Avant-Garde & Experimental,way,7
1964,Avant-Garde & Experimental,well,7
1964,Avant-Garde & Experimental,say,4
1964,Avant-Garde & Experimental,know,4
1964,Avant-Garde & Experimental,care,4
1964,Avant-Garde & Experimental,told,4
1964,Avant-Garde & Experimental,make,4
1964,Avant-Garde & Experimental,bright,3
1964,Avant-Garde & Experimental,pre,3
1964,Avant-Garde & Experimental,soft,3
1964,Avant-Garde & Experimental,sorry,3
1964,Avant-Garde & Experimental,please,3
1964,Avant-Garde & Experimental,would,3
1964,Avant-Garde & Experimental,voice,3
1964,Avant-Garde & Experimental,trying,3
1964,Avant-Garde & Experimental,let,3
1964,Avant-Garde & Experimental,late,3
1964,Avant-Garde & Experimental,tell,3
1964,Avant-Garde & Experimental,bother,3
1964,Avant-Garde & Experimental,cool,3
1964,Avant-Garde & Experimental,color,3
1964,Avant-Garde & Experimental,clear,3
1964,Blues & Soul,one,1214
1964,Blues & Soul,jordan,1039
1964,Blues & Soul,would,721
1964,Blues & Soul,man,564
1964,Blues & Soul,said,530
1964,Blues & Soul,guermantes,508
1964,Blues & Soul,know,500
1964,Blues & Soul,time,497
1964,Blues & Soul,day,443
1964,Blues & Soul,could,436
1964,Blues & Soul,say,407
1964,Blues & Soul,love,378
1964,Blues & Soul,see,378
1964,Blues & Soul,people,376
1964,Blues & Soul,good,375
1964,Blues & Soul,even,375
1964,Blues & Soul,world,369
1964,Blues & Soul,come,366
1964,Blues & Soul,mme,357
1964,Blues & Soul,well,335
1964,Blues & Soul,get,330
1964,Blues & Soul,way,328
1964,Blues & Soul,little,319
1964,Blues & Soul,life,309
1964,Blues & Soul,make,307
1964,Children's,twist,18
1964,Children's,shake,17
1964,Children's,mon,12
1964,Children's,love,12
1964,Children's,loving,10
1964,Children's,know,10
1964,Children's,come,9
1964,Children's,little,8
1964,Children's,would,8
1964,Children's,work,8
1964,Children's,send,6
1964,Children's,shout,6
1964,Children's,true,6
1964,Children's,well,6
1964,Children's,closer,4
1964,Children's,girl,4
1964,Children's,fine,4
1964,Children's,let,4
1964,Children's,mine,4
1964,Children's,write,3
1964,Children's,hope,3
1964,Children's,home,3
1964,Children's,everyday,3
1964,Children's,away,3
1964,Children's,two,2
1964,Christian,ringo,27
1964,Christian,chug,20
1964,Christian,man,19
1964,Christian,lug,18
1964,Christian,wacka,16
1964,Christian,well,15
1964,Christian,boy,15
1964,Christian,love,13
1964,Christian,little,11
1964,Christian,big,8
1964,Christian,doot,8
1964,Christian,back,7
1964,Christian,heart,7
1964,Christian,know,7
1964,Christian,say,7
1964,Christian,dang,6
1964,Christian,good,6
1964,Christian,got,6
1964,Christian,one,6
1964,Christian,would,5
1964,Christian,went,5
1964,Christian,still,5
1964,Christian,gun,5
1964,Christian,burns,4
1964,Christian,ell,4
1964,Country & Folk,les,190
1964,Country & Folk,est,157
1964,Country & Folk,pas,152
1964,Country & Folk,des,135
1964,Country & Folk,dans,94
1964,Country & Folk,comme,69
1964,Country & Folk,pour,64
1964,Country & Folk,que,64
1964,Country & Folk,mais,56
1964,Country & Folk,qui,52
1964,Country & Folk,mes,52
1964,Country & Folk,suis,51
1964,Country & Folk,mon,48
1964,Country & Folk,une,46
1964,Country & Folk,beans,40
1964,Country & Folk,ears,40
1964,Country & Folk,quand,39
1964,Country & Folk,let,38
1964,Country & Folk,couplet,36
1964,Country & Folk,faire,29
1964,Country & Folk,sur,29
1964,Country & Folk,love,28
1964,Country & Folk,never,27
1964,Country & Folk,lil,26
1964,Country & Folk,avec,25
1964,Electronic,hip,43
1964,Electronic,hop,42
1964,Electronic,would,39
1964,Electronic,could,38
1964,Electronic,rap,36
1964,Electronic,one,35
1964,Electronic,music,34
1964,Electronic,record,31
1964,Electronic,rock,26
1964,Electronic,first,25
1964,Electronic,time,23
1964,Electronic,party,22
1964,Electronic,even,21
1964,Electronic,new,19
1964,Electronic,records,19
1964,Electronic,way,19
1964,Electronic,womack,17
1964,Electronic,two,17
1964,Electronic,house,17
1964,Electronic,freddy,16
1964,Electronic,come,14
1964,Electronic,culture,14
1964,Electronic,run,14
1964,Electronic,fab,13
1964,Electronic,get,13
1964,Hip Hop,turn,5
1964,Hip Hop,day,3
1964,Hip Hop,new,2
1964,Hip Hop,away,2
1964,Hip Hop,could,2
1964,Hip Hop,learn,2
1964,Hip Hop,star,1
1964,Hip Hop,sorrow,1
1964,Hip Hop,share,1
1964,Hip Hop,one,1
1964,Hip Hop,nobody,1
1964,Hip Hop,needs,1
1964,Hip Hop,must,1
1964,Hip Hop,maybe,1
1964,Hip Hop,way,1
1964,Hip Hop,wants,1
1964,Hip Hop,tomorrow,1
1964,Hip Hop,throw,1
1964,Hip Hop,steal,1
1964,Hip Hop,leads,1
1964,Hip Hop,laughter,1
