rank_album,album_name,artist_name,release_date,total_year_end_score,genre,artist_check,logic,,,,,,
1,Doo-Wops & Hooligans,Bruno Mars,10/5/2010,160598,Pop,Bruno Mars,TRUE,,,,,,
2,21,Adele,1/19/2011,156615,Pop,Adele,TRUE,,,,,,
3,Born To Die - The Paradise Edition,Lana Del Rey,1/1/2012,124532,Alternative Pop,Lana Del Rey,TRUE,,,,,,
4,Recovery,Eminem,6/18/2010,115360,Hip-Hop,Eminem,TRUE,,,,,,
5,The Legend of Johnny Cash,Herthey Hill,7/18/2013,89269,Country,Herthey Hill,TRUE,,,,,,
6,Nothing Was The Same (Deluxe),Drake,1/1/2013,88245,Pop,Drake,TRUE,,,,,,
7,Here's To The Good Times,Florida Georgia Line,1/1/2012,85483,Pop,Florida Georgia Line,TRUE,,,,,,
8,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,3/12/2012,75166,Country Pop,Katy Perry,TRUE,,,,,,
9,x (Deluxe Edition),Ed Sheeran,6/21/2014,74730,Pop,Ed Sheeran,TRUE,,,,,,
10,In The Lonely Hour,Sam Smith,1/1/2014,74494,Pop,Sam Smith,TRUE,,,,,,
11,Need You Now,Lady Antebellum,1/1/2010,74366,Country Pop,Lady Antebellum,TRUE,,,,,,
12,Crash My Party,Luke Bryan,1/1/2013,73861,Pop,Luke Bryan,TRUE,,,,,,
13,No Fences : The Hits of Garth Brooks (Karaoke Version),All American Karaoke,4/18/2012,69107,Country,All American Karaoke,TRUE,,,,,,
14,Tailgates & Tanlines,Luke Bryan,1/1/2011,65590,Country,Luke Bryan,TRUE,,,,,,
15,Strummin' On Garth,Brooks Jefferson,3/13/2015,64659,Country,Brooks Jefferson,TRUE,,,,,,
16,2014 Forest Hills Drive,J. Cole,12/9/2014,64566,Pop,J. Cole,TRUE,,,,,,
17,1989 (Deluxe),Taylor Swift,1/1/2014,64155,Pop,Taylor Swift,TRUE,,,,,,
18,Montevallo,Sam Hunt,10/27/2014,64143,Country,Sam Hunt,TRUE,,,,,,
19,Unorthodox Jukebox,Bruno Mars,12/7/2012,61294,Pop,Bruno Mars,TRUE,,,,,,
20,Trilogy,The Weeknd,1/1/2012,58311,Alternative R&B,The Weeknd,TRUE,,,,,,
21,Blurryface,Twenty One Pilots,5/15/2015,57711,Pop,Twenty One Pilots,TRUE,,,,,,
22,If You're Reading This It's Too Late,Drake,2/12/2015,56536,Pop Rap,Drake,TRUE,,,,,,
23,My World 2.0,Justin Bieber,1/1/2010,54591,Pop,Justin Bieber,TRUE,,,,,,
24,Beauty Behind The Madness,The Weeknd,8/28/2015,54407,Pop,The Weeknd,TRUE,,,,,,.
25,Greatest Hits So Far...,Zac Brown Band,11/7/2014,52906,Country,Zac Brown Band,TRUE,,,,,,
26,Loaded: The Best of Blake Shelton,Blake Shelton,11/9/2010,51826,Country,Blake Shelton,TRUE,,,,,,
27,You Get What You Give,Zac Brown Band,9/20/2010,48906,Country,Zac Brown Band,TRUE,,,,,,
28,Traveller,Chris Stapleton,5/4/2015,48814,Country,Chris Stapleton,TRUE,,,,,,
29,Hozier,Hozier,7/20/2014,48734,Blues Rock,Hozier,TRUE,,,,,,
29,My Kinda Party,Jason Aldean,11/2/2010,48734,Country,Jason Aldean,TRUE,,,,,,
31,Red River Blue (Deluxe Edition),Blake Shelton,7/12/2011,47061,Country,Blake Shelton,TRUE,,,,,,
32,SremmLife 2 (Deluxe),Rae Sremmurd,8/12/2016,46064,Hip-Hop,Rae Sremmurd,TRUE,,,,,,
33,T R A P S O U L,Bryson Tiller,10/2/2015,45856,R&B,Bryson Tiller,TRUE,,,,,,
34,Lullaby Versions of Guardians of the Galaxy Soundtrack,Twinkle Twinkle Little Rock Star,10/30/2015,45178,Various,Twinkle Twinkle Little Rock Star,TRUE,,,,,,
35,BADLANDS (Deluxe),Halsey,8/28/2015,44512,Pop,Halsey,TRUE,,,,,,
36,25,Adele,6/24/2016,43803,Pop Soul,Adele,TRUE,,,,,,
37,Chief,Eric Church,1/1/2011,42735,Country,Eric Church,TRUE,,,,,,
38,Tangled Up,Thomas Rhett,1/1/2015,42382,Country,Thomas Rhett,TRUE,,,,,,
39,Death of a Bachelor,Panic! At The Disco,1/15/2016,42381,Pop Rock,Panic! At The Disco,TRUE,,,,,,
40,ANTI (Deluxe),Rihanna,1/28/2016,42001,Hip Hop,Rihanna,TRUE,,,,,,
41,"Flashlight (From Pitch Perfect 2"" Soundtrack)""",Jessie J,4/14/2015,41403,Pop,Jessie J,TRUE,,,,,,
42,Red (Big Machine Radio Release Special),Taylor Swift,10/21/2012,40975,Pop,Taylor Swift,TRUE,,,,,,
42,Purpose (Deluxe),Justin Bieber,11/13/2015,40975,Pop,Justin Bieber,TRUE,,,,,,
42,Save Rock And Roll,Fall Out Boy,1/1/2013,40975,Pop Rock,Fall Out Boy,TRUE,,,,,,
45,Love In The Future (Expanded Edition),John Legend,8/30/2013,39413,Pop,John Legend,TRUE,,,,,,
46,Brothers (Deluxe Edition),The Black Keys,10/18/2010,39294,Alternative Rock,The Black Keys,TRUE,,,,,,
47,Speak Now,Taylor Swift,1/1/2010,39008,Country Pop,Taylor Swift,TRUE,,,,,,
48,Bella Donna (Deluxe Edition),Stevie Nicks,11/4/2016,38954,Rock,Stevie Nicks,TRUE,,,,,,
49,Greatest Hits: Decade #1,Carrie Underwood,12/9/2014,38807,Country,Carrie Underwood,TRUE,,,,,,
50,Native,OneRepublic,1/1/2013,38466,Pop Rock,OneRepublic,TRUE,,,,,,
51,Views,Drake,5/6/2016,37191,Contemporary R&B,Drake,TRUE,,,,,,
52,Because the Internet,Childish Gambino,12/10/2013,37029,Hip-Hop,Childish Gambino,TRUE,,,,,,
53,These Things Happen,G-Eazy,6/20/2014,36914,Hip Hop,G-Eazy,TRUE,,,,,,
54,DS2 (Deluxe),Future,7/17/2015,36853,Hip Hop,Future,TRUE,,,,,,
55,Glee The 3D Concert Movie (Motion Picture Soundtrack),Glee Cast,8/5/2011,36320,Pop,Glee Cast,TRUE,,,,,,
56,Reloaded: 20 #1 Hits,Blake Shelton,10/23/2015,35971,Country,Blake Shelton,TRUE,,,,,,
57,Based on a True Story... (Deluxe Edition),Blake Shelton,3/26/2013,34254,Country,Blake Shelton,TRUE,,,,,,
58,Greatest Hits...So Far!!!,P!nk,11/12/2010,34221,Pop,P!nk,TRUE,,,,,,
59,Dangerous Woman,Ariana Grande,5/20/2016,33727,Pop,Ariana Grande,TRUE,,,,,,
60,The Life Of Pablo,Kanye West,6/10/2016,33528,Pop Rap,Kanye West,TRUE,,,,,,
61,To Pimp A Butterfly,Kendrick Lamar,3/16/2015,32875,Conscious Hip Hop,Kendrick Lamar,TRUE,,,,,,
62,Handwritten,Shawn Mendes,4/14/2015,32550,Pop,Shawn Mendes,TRUE,,,,,,
63,V,Maroon 5,5/15/2015,32226,Pop Rock,Maroon 5,TRUE,,,,,,
64,The Pinkprint (International Deluxe Explicit),Nicki Minaj,12/15/2014,32102,Hip Hop,Nicki Minaj,TRUE,,,,,,
65,California Sunrise,Jon Pardi,5/13/2016,31624,Country,Jon Pardi,TRUE,,,,,,
66,AM,Arctic Monkeys,9/9/2013,31610,Indie Rock,Arctic Monkeys,TRUE,,,,,,
67,Coloring Book,Chance the Rapper,5/27/2016,31364,Hip Hop,Chance the Rapper,TRUE,,,,,,
68,Birds In The Trap Sing McKnight,Travis Scott,9/16/2016,31260,Hip Hop,Travis Scott,TRUE,,,,,,
69,Kill The Lights (Deluxe),Luke Bryan,8/7/2015,30940,Country,Luke Bryan,TRUE,,,,,,
70,Title (Deluxe),Meghan Trainor,1/9/2015,30696,Pop,Meghan Trainor,TRUE,,,,,,
71,Down To The Sea And Back: The Continuing Journey Of The Balearic Beat. Volume 1.,The San Sebastian Strings,6/28/2010,30575,Balearic Beat,The San Sebastian Strings,TRUE,,,,,,
72,Smoke + Mirrors (Deluxe),Imagine Dragons,5/18/2015,30303,Alternative Rock,Imagine Dragons,TRUE,,,,,,
72,1000 Forms Of Fear,Sia,7/4/2014,30303,Alternative Rock,Sia,TRUE,,,,,,
74,"Save Me, San Francisco (Golden Gate Edition)",Train,12/1/2010,30069,Pop Rock,Train,TRUE,,,,,,
75,Number One Hits,Tim McGraw,11/30/2010,29924,Country,Tim McGraw,TRUE,,,,,,
76,Cleopatra,The Lumineers,4/8/2016,29670,Folk Rock,The Lumineers,TRUE,,,,,,
77,Ripcord,Keith Urban,12/16/2016,29637,Country,Keith Urban,TRUE,,,,,,
78,Cry Baby (Deluxe),Melanie Martinez,8/14/2015,29415,Electropop,Melanie Martinez,TRUE,,,,,,
79,My Beautiful Dark Twisted Fantasy,Kanye West,1/1/2010,29066,Pop Rap,Kanye West,TRUE,,,,,,
80,"Love Can Build A Bridge: Songs Of Faith, Hope & Love",The Judds,4/29/2016,28842,Country,The Judds,TRUE,,,,,,
81,Don't Rock the Jukebox - Salute to Alan Jackson,Graham BLVD,6/8/2010,28684,Tribute/Cover Album,Graham BLVD,TRUE,,,,,,
82,Illuminate (Deluxe),Shawn Mendes,4/20/2017,28416,Pop,Shawn Mendes,TRUE,,,,,,
83,Dig Your Roots,Florida Georgia Line,8/26/2016,28304,Country,Florida Georgia Line,TRUE,,,,,,
84,Bon Jovi Greatest Hits - The Ultimate Collection (Deluxe),Bon Jovi,11/9/2010,28279,Rock,Bon Jovi,TRUE,,,,,,
85,How Can It Be,Lauren Daigle,4/14/2015,28151,Contemporary Christian Music (CCM),Lauren Daigle,TRUE,,,,,,
