artist_rank,name,main_genre,popularity
1,"Ed Sheeran",pop,100
2,Drake,"canadian hip hop",99
3,"J Balvin",latin,99
4,Ozuna,reggaeton,98
5,"Taylor Swift","dance pop",97
6,Khalid,pop,97
7,"Billie Eilish",electropop,97
8,"Daddy Yankee",latin,97
9,"Post Malone","dfw rap",96
10,"Ariana Grande","dance pop",96
11,"Shawn Mendes","canadian pop",96
12,"Anuel AA","reggaeton flow",96
13,"Young Thug","atl hip hop",95
14,Eminem,"detroit hip hop",94
15,"Travis Scott",pop,94
16,"Camila Cabello","dance pop",94
17,"Justin Bieber","canadian pop",94
18,"Chris Brown","dance pop",94
19,"Nicky Jam",latin,94
20,XXXTENTACION,"emo rap",93
21,BTS,k-pop,93
22,Maluma,reggaeton,93
23,"Sam Smith",pop,92
24,Queen,"glam rock",92
25,"Juice WRLD","chicago rap",92
26,"Cardi B",pop,92
27,"Nicki Minaj","dance pop",92
28,"Imagine Dragons","modern rock",91
29,"J. Cole","conscious hip hop",91
30,"Kanye West","chicago rap",91
31,Rihanna,"dance pop",91
32,Marshmello,brostep,91
33,"The Chainsmokers",electropop,91
34,Beyoncé,"dance pop",91
35,"Lil Wayne","hip hop",91
36,"David Guetta","dance pop",91
37,"The Beatles","british invasion",90
38,"Bruno Mars",pop,90
39,"The Weeknd","canadian contemporary r&b",90
40,"Kendrick Lamar","conscious hip hop",90
41,Halsey,"dance pop",90
42,NF,"hip hop",90
43,"Lil Baby","atl hip hop",90
44,Future,"atl hip hop",90
45,"Chance the Rapper","chicago rap",90
46,"A Boogie Wit da Hoodie",rap,90
47,"Ty Dolla $ign","hip hop",90
48,Kygo,edm,90
49,"21 Savage","atl hip hop",89
50,"Lil Uzi Vert","philly rap",89
51,"Maroon 5",pop,89
52,"Trippie Redd",rap,89
53,"Calvin Harris",edm,89
54,"Lady Gaga","dance pop",89
55,Avicii,"big room",89
56,"Swae Lee","trap music",89
57,"Katy Perry","dance pop",89
58,Coldplay,"permanent wave",89
59,"Sebastian Yatra","colombian pop",89
60,"Panic! At The Disco","baroque pop",88
61,"Twenty One Pilots","pop punk",88
62,Logic,"conscious hip hop",88
63,"Bebe Rexha","dance pop",88
64,Bazzi,"dance pop",88
65,"5 Seconds of Summer","boy band",88
66,Gunna,"atl hip hop",88
67,"Meek Mill","hip hop",88
68,"A$AP Rocky","east coast hip hop",88
69,"Wiz Khalifa","hip hop",88
70,Quavo,"atl hip hop",88
71,Diplo,bmore,88
72,Migos,"atl hip hop",87
73,"Linkin Park","alternative metal",87
74,"Dua Lipa","dance pop",87
75,"Selena Gomez","dance pop",87
76,Lauv,"dance pop",87
77,"Gucci Mane","atl hip hop",87
78,YG,"cali rap",87
79,Sia,"australian dance",87
80,"Snoop Dogg","g funk",87
81,AC/DC,"album rock",86
82,"Kodak Black","florida rap",86
83,"Red Hot Chili Peppers","alternative rock",86
84,"Demi Lovato","dance pop",86
85,P!nk,"dance pop",86
86,G-Eazy,"hip hop",86
87,"Elton John","glam rock",86
88,"Lana Del Rey","dance pop",86
89,"Tyler, The Creator","hip hop",86
90,Anne-Marie,"dance pop",86
91,"Rita Ora","dance pop",86
92,Metallica,"hard rock",85
93,Adele,"british soul",85
94,"Michael Jackson",pop,85
95,Russ,"hawaiian hip hop",85
96,"Playboi Carti","atl hip hop",85
97,"Lil Skies","trap music",85
98,"Rich The Kid","atl hip hop",85
99,"Big Sean","detroit hip hop",85
100,"Lil Yachty","atl hip hop",85
