,popularity,explicit,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
popularity,1.0,0.24752841598925754,0.1523594915349316,0.008358162683884184,-0.0828132639056526,0.07385678615206483,-0.22391843748143805,0.09213213860336338,0.18857831013866436,-0.1902119946670296,-0.06417797421514156,0.32351688562941483,0.14710971945715895,-0.1359453851611714,0.009127151311585095
explicit,0.24752841598925754,1.0,0.038157980881619175,0.016356253586742038,-0.11073067713072417,0.054992183051868905,-0.13982708345299155,0.2249491781107671,0.07153946271224293,-0.06920475512277627,0.01883699699610153,0.19533390959035954,0.5167150920680136,-0.09948244537709747,-0.015167953697039806
duration_ms,0.1523594915349316,0.038157980881619175,1.0,0.00015379245733622716,-0.10873950907516991,0.05336056188769455,-0.22273994887302948,0.07304724343352273,0.09214647727916925,0.03727718933681756,0.006022640099101145,0.008704686188046859,0.04338117949222976,-0.13727207335554184,-0.03006077818445433
key,0.008358162683884184,0.016356253586742038,0.00015379245733622716,1.0,-0.14703852108675125,0.006061579599103453,-0.014459568914947861,0.014411975348339013,0.011014148282228622,-0.0011240954581189242,-0.0033668492211135327,0.005903086972130157,0.02534214792210202,0.014479842831705626,-0.016994420694190063
mode,-0.0828132639056526,-0.11073067713072417,-0.10873950907516991,-0.14703852108675125,1.0,-0.035835041540657385,0.1175852957519243,-0.14946923996327405,-0.08631496181624645,-0.019365132151655542,0.010312085014019487,-0.05474702772314636,-0.127467016965387,-0.04088296673985243,0.028897759856048734
time_signature,0.07385678615206483,0.054992183051868905,0.05336056188769455,0.006061579599103453,-0.035835041540657385,1.0,-0.17738124383170606,0.19894337672625917,0.18378546708612847,0.009920667500318977,-0.007814218045587136,0.08476688522965817,0.061177423138454354,0.1391755098595696,-0.024535692636351566
acousticness,-0.22391843748143805,-0.13982708345299155,-0.22273994887302948,-0.014459568914947861,0.1175852957519243,-0.17738124383170606,1.0,-0.2697305943377176,-0.5745108540095717,0.028632300967093682,0.02300968532448319,-0.37510547408756983,-0.12654824685447152,-0.17606301137283867,-0.0955997003618537
danceability,0.09213213860336338,0.2249491781107671,0.07304724343352273,0.014411975348339013,-0.14946923996327405,0.19894337672625917,-0.2697305943377176,1.0,0.15909941985641543,0.010369543398833092,-0.14127731765804208,0.08230063437787241,0.22784978989676524,0.43465429075429124,-0.1793309675408125
energy,0.18857831013866436,0.07153946271224293,0.09214647727916925,0.011014148282228622,-0.08631496181624645,0.18378546708612847,-0.5745108540095717,0.15909941985641543,1.0,-0.07835580552282849,0.12627285197229798,0.6822993120823326,0.1465217439250917,0.35619164186229046,0.1508421658344318
instrumentalness,-0.1902119946670296,-0.06920475512277627,0.03727718933681756,-0.0011240954581189242,-0.019365132151655542,0.009920667500318977,0.028632300967093682,0.010369543398833092,-0.07835580552282849,1.0,-0.03331947714920624,-0.1702667789442235,-0.06521893083410105,-0.014970481120544775,0.0017265987707866686
liveness,-0.06417797421514156,0.01883699699610153,0.006022640099101145,-0.0033668492211135327,0.010312085014019487,-0.007814218045587136,0.02300968532448319,-0.14127731765804208,0.12627285197229798,-0.03331947714920624,1.0,0.04945853028524075,0.08024395920288817,0.002479222036805104,0.018563795533401487
loudness,0.32351688562941483,0.19533390959035954,0.008704686188046859,0.005903086972130157,-0.05474702772314636,0.08476688522965817,-0.37510547408756983,0.08230063437787241,0.6822993120823326,-0.1702667789442235,0.04945853028524075,1.0,0.15689060894960746,0.03129621874584056,0.07598574880551329
speechiness,0.14710971945715895,0.5167150920680136,0.04338117949222976,0.02534214792210202,-0.127467016965387,0.061177423138454354,-0.12654824685447152,0.22784978989676524,0.1465217439250917,-0.06521893083410105,0.08024395920288817,0.15689060894960746,1.0,0.015319836656491,0.035019847631478855
valence,-0.1359453851611714,-0.09948244537709747,-0.13727207335554184,0.014479842831705626,-0.04088296673985243,0.1391755098595696,-0.17606301137283867,0.43465429075429124,0.35619164186229046,-0.014970481120544775,0.002479222036805104,0.03129621874584056,0.015319836656491,1.0,0.0650064634942723
tempo,0.009127151311585095,-0.015167953697039806,-0.03006077818445433,-0.016994420694190063,0.028897759856048734,-0.024535692636351566,-0.0955997003618537,-0.1793309675408125,0.1508421658344318,0.0017265987707866686,0.018563795533401487,0.07598574880551329,0.035019847631478855,0.0650064634942723,1.0
