song_rank,song_name,artist_name,explicit,popularity
1,Sunflower - Spider-Man: Into the Spider-Verse,Various Artists,0,92
2,Without Me,Halsey,1,87
3,Better Now,Post Malone,1,86
4,High Hopes,Panic! At The Disco,0,86
5,Sweet but Psycho,Ava Max,0,86
6,Lucid Dreams,Juice WRLD,1,85
7,SICKO MODE,Travis Scott,1,85
8,SAD!,XXXTENTACION,1,84
9,Moonlight,XXXTENTACION,1,84
10,The Middle,Grey,0,83
11,God's Plan,Drake,1,83
12,Be Alright,Dean Lewis,1,83
13,no tears left to cry,Ariana Grande,0,82
14,FRIENDS,Marshmello,1,82
15,In My Feelings,Drake,1,82
16,Natural,Imagine Dragons,0,82
17,changes,XXXTENTACION,0,82
18,Bad Liar,Imagine Dragons,0,82
19,Nonstop,Drake,1,81
20,In My Blood,Shawn Mendes,0,81
21,Mo Bamba,Sheck Wes,1,81
22,Look Back at It,A Boogie Wit da Hoodie,1,81
23,Mine,Bazzi,1,80
24,Nice For What,Drake,1,80
25,God is a woman,Ariana Grande,1,80
26,Call Out My Name,The Weeknd,0,80
27,I'm a Mess,Bebe Rexha,0,80
28,All Girls Are The Same,Juice WRLD,1,80
29,Attention,Charlie Puth,0,80
30,Leave Me Alone,Flipp Dinero,1,80
31,Noticed,Lil Mosey,1,80
32,You Say,Lauren Daigle,0,79
33,Candy Paint,Post Malone,1,79
34,Money,Cardi B,1,79
35,Always Remember Us This Way,Lady Gaga,0,79
36,Armed And Dangerous,Juice WRLD,1,79
37,Beautiful Crazy,Luke Combs,0,79
38,Envy Me,Calboy,1,79
39,Kiss and Make Up,"Dua Lipa, BlackPink",0,79
40,breathin,Ariana Grande,1,78
41,X,"Nicky Jame, J Balvin",0,78
42,YOSEMITE,Travis Scott,1,78
43,BUTTERFLY EFFECT,Travis Scott,0,78
44,Youngblood,5 Seconds of Summer,0,77
45,Trip,Ella Mai,0,77
46,STARGAZING,Travis Scott,1,77
47,Fine China,Juice WRLD,1,77
48,Stay,Post Malone,1,77
49,Lean Wit Me,Juice WRLD,1,77
50,the remedy for a broken heart (why am I so in love),XXXTENTACION,1,77
51,Hope,XXXTENTACION,1,77
52,Plug Walk,Rich The Kid,1,76
53,Killshot,Eminem,1,76
54,Self Care,Mac Miller,1,76
55,Pure Cocaine,Lil Baby,1,76
56,WAKE UP,Travis Scott,1,76
57,Never Be the Same,Camila Cabello,0,75
58,This Is America,Childish Gambino,1,75
59,Dura,Daddy Tankee,0,75
60,She Got the Best of Me,Luke Combs,0,75
61,JAPAN,Famous Dex,1,75
62,Better,Post Malone,0,75
63,Paranoid,Post Malone,0,75
64,Topanga,Trippie Redd,1,75
65,Calling My Spirit,Kodak Black,1,75
66,DDU-DU DDU-DU,BLACKPINK,0,75
67,come out and play,Billie Eilish,0,75
68,Kamikaze,Lil Mosey,1,75
69,Stir Fry,Migos,1,74
70,How Long,Charlie Puth,0,74
71,Speechless,Dan + Shay,0,74
72,Rich & Sad,Post Malone,1,74
73,Over Now,Post Malone,1,74
74,92 Explorer,Post Malone,1,74
75,Taking A Walk,Trippie Redd,1,74
76,Sober,Demi Lovato,0,74
77,whoa (mind in awe),XXXTENTACION,0,74
78,CAN'T SAY,Travis Scott,1,74
79,Legends,Juice WRLD,1,74
80,Tequila,Dan + Shay,0,73
81,Back To You,Selena Gomez,0,73
82,I'm Upset,Drake,1,73
83,broken,lovelytheband,0,73
84,Uproar,Lil Wayne,1,73
85,KOD,J. Cole,1,73
86,Narcos,Migos,1,73
87,Mob Ties,Drake,1,73
88,Betrayed,Lil Xan,1,73
89,FAKE LOVE,BTS,0,73
90,New Patek,Lil Uzi Vert,1,73
91,The Ringer,Eminem,1,73
92,Summertime Magic,Childish Gambino,0,73
93,Jumpsuit,Twenty One Pilots,0,73
94,Sick Boy,The Chainsmokers,0,73
95,Feels Like Summer,Childish Gambino,0,73
96,NUMB,XXXTENTACION,0,73
97,My My My!,Troye Sivan,0,73
98,My Blood,Twenty One Pilots,0,73
99,Drunk Me,Mitchell Tenpenny,0,72
100,All Mine,Kanye West,1,72
