song_rank,release_year,song_id,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
1,1964,63kd4m3VFxcJjPVVtbVNAu,147000,0,1,0,0.842000,0.000,0.40500,0.0011400,0.1980,-9.935,0.0000,0.0000,0.000
2,1964,2EjXfH91m7f8HiJN1yQg97,126267,8,1,4,0.614000,0.589,0.47200,0.0000000,0.5050,-8.749,0.0502,0.8980,67.196
3,1964,4591VqUIXysNlmI5NcAIUd,174440,10,1,4,0.557000,0.691,0.58100,0.0000462,0.1470,-7.850,0.0650,0.9100,126.615
4,1964,3WYYzUlLrl4NVNeoKd7MnG,179120,11,1,4,0.762000,0.536,0.35100,0.0000000,0.2200,-8.026,0.0266,0.5320,106.730
4,1964,4v75K5mEyumdXCZU09kwAg,177427,7,1,4,0.055900,0.685,0.47400,0.0000058,0.0723,-6.877,0.0359,0.8230,123.612
6,1964,5utYYyUPnf3ayrh9JeM7Y2,220133,9,1,4,0.943000,0.184,0.34200,0.0000127,0.0956,-7.830,0.0343,0.1580,76.497
7,1964,5J2CHimS7dWYMImCHkEFaJ,154200,0,1,4,0.137000,0.590,0.80500,0.0000000,0.0996,-6.481,0.0371,0.7970,138.514
8,1964,5uES1C2NgkdrNHiCwf9jRr,158040,0,1,4,0.782000,0.582,0.63600,0.0000000,0.5340,-9.266,0.0381,0.7150,135.769
9,1964,7gEpTMp9MQc1uJwivtL37R,143400,4,1,4,0.262000,0.661,0.55700,0.0000000,0.0557,-8.244,0.0490,0.9570,125.445
10,1964,5y788ya4NvwhBznoDIcXwK,185413,6,1,4,0.837000,0.525,0.21600,0.0000000,0.1070,-13.551,0.0301,0.3280,106.761
11,1964,65jrjEhWfAvysKfnojk1i0,161960,7,1,4,0.908000,0.747,0.22600,0.0001680,0.1070,-13.635,0.0415,0.7780,123.789
12,1964,252YuUdUaC5OojaBU0H1CP,166667,3,1,4,0.520000,0.636,0.68400,0.0015000,0.5340,-9.302,0.0570,0.8810,132.509
13,1964,29SyMC0plk6qw8NMF7lfRL,134253,8,1,4,0.493000,0.573,0.93900,0.0000000,0.0994,-6.441,0.0808,0.9630,137.382
14,1964,0Arrnl9EB7LtzPISpNBQQf,153160,0,1,4,0.290000,0.366,0.70700,0.0000317,0.5050,-9.392,0.0460,0.5250,127.701
15,1964,5GHbWzjRy1XfnTf5rkA8bf,214213,11,1,4,0.864000,0.563,0.52100,0.0000000,0.2160,-12.568,0.3110,0.6530,110.794
16,1964,1UBcwKIAUHo7BYAvae6yeA,176400,11,1,4,0.232000,0.683,0.37400,0.0000000,0.1460,-10.084,0.0381,0.7070,108.125
17,1964,3xsOtNxtBW0oTI1OWKAzTm,178333,5,1,4,0.719000,0.700,0.33000,0.0000860,0.1360,-9.027,0.0303,0.5240,98.605
18,1964,3MVr7KeWF6kf4znJMwiEnx,182800,0,1,4,0.539000,0.517,0.53300,0.0000197,0.1640,-11.053,0.0306,0.7690,126.229
19,1964,4F2w3xgfaVJdCSAqDtJULv,166040,3,1,4,0.548000,0.478,0.81700,0.0000400,0.0444,-5.480,0.0316,0.9430,145.946
20,1964,5mDEEfMs1fHTjoEffGvnvr,155627,1,0,3,0.637000,0.635,0.53600,0.0000000,0.1010,-6.622,0.0440,0.7270,66.757
20,1964,0jUfBCWrfrZGueD8MjvgMo,127093,9,1,4,0.094600,0.575,0.84300,0.0000000,0.1970,-4.298,0.0328,0.9530,109.254
22,1964,78JmElAFmrPNhLjovDR9Jm,141507,7,1,4,0.262000,0.551,0.86000,0.0000046,0.0558,-7.839,0.0796,0.7230,136.921
23,1964,7xAJpAeopaV6rilu3iiwME,129293,7,1,4,0.367000,0.485,0.77900,0.4320000,0.1800,-14.235,0.0390,0.4830,133.223
24,1964,6TVWJ44dmJbeYb2p1bb6t5,151693,5,1,4,0.521000,0.360,0.83800,0.0000000,0.8610,-4.208,0.0395,0.8680,144.780
25,1964,3msjvrkCvIzUNJHULcAafN,169680,2,1,4,0.633000,0.704,0.37700,0.4940000,0.2300,-11.896,0.0306,0.7770,106.251
26,1964,2BQZvZsA9SRafvWEBSQnri,184227,8,1,3,0.910000,0.505,0.04770,0.0000026,0.0675,-23.032,0.0278,0.3090,78.856
27,1964,1959PESdlKUTrT3Tx8wXkq,172133,4,1,4,0.666000,0.536,0.33100,0.0000000,0.1150,-11.418,0.0326,0.3560,101.248
28,1964,6NXo5Vd0H0CFyPlCUhFPsN,167293,7,1,4,0.326000,0.518,0.46600,0.0000011,0.1740,-13.555,0.0325,0.6420,114.303
29,1964,51LazY4piOq7dw5AARunow,163800,0,1,3,0.904000,0.415,0.24200,0.0000000,0.0960,-15.810,0.0280,0.3640,98.759
30,1964,6vOJGIYpiEgYh4Vjx47c4w,134200,3,1,4,0.394000,0.675,0.67100,0.9410000,0.1140,-11.626,0.0471,0.9660,148.156
31,1964,3496rr5XSGD6n1Z1OKXovb,165744,4,1,4,0.192000,0.622,0.69400,0.0007230,0.4100,-4.581,0.0340,0.7500,124.123
32,1964,4YkN3JlceD5n2aMqL1kFnH,157387,5,1,3,0.737000,0.326,0.44100,0.0000097,0.3280,-9.117,0.0479,0.6220,208.072
33,1964,3bq9YHKExHdNzMCublodNs,171507,11,1,3,0.966000,0.608,0.12100,0.4660000,0.0746,-17.321,0.0359,0.2880,86.704
34,1964,3mwiyHBHfAzOe89MwqJeEb,144947,2,1,4,0.776000,0.260,0.35500,0.0000000,0.1360,-7.955,0.0300,0.3380,78.464
35,1964,5pDFkTYy8ionPtHCnpwWMR,128813,3,1,4,0.529000,0.375,0.54700,0.0000000,0.3150,-5.123,0.0341,0.6430,155.584
