artist_rank,name,main_genre,weeks_on_chart,first_week,last_week
1,"The Beatles","british invasion",1355,1964-01-18,2018-12-29
2,Eminem,"detroit hip hop",1125,1999-02-27,2018-12-29
3,"Pink Floyd","album rock",1074,1967-12-02,2018-12-29
4,Drake,"canadian hip hop",1041,2009-05-23,2018-12-29
5,Prince,funk,868,1978-10-28,2018-12-29
6,"Herb Alpert & The Tijuana Brass","adult standards",774,1965-01-16,1984-10-27
7,"Michael Jackson",pop,762,1971-10-30,2018-12-29
8,"Taylor Swift","dance pop",722,2006-09-23,2018-12-29
9,"Led Zeppelin","album rock",665,1969-02-15,2018-11-17
10,"Bruno Mars",pop,663,2010-08-07,2018-12-29
11,"Whitney Houston","dance pop",641,1985-03-30,2018-07-21
12,Metallica,"hard rock",630,1984-09-29,2018-12-29
13,Adele,"british soul",611,2008-06-28,2018-12-29
14,U2,"irish rock",606,1981-03-14,2018-03-24
15,"Ed Sheeran",pop,584,2012-06-30,2018-12-29
16,"Guns N' Roses","glam metal",584,1987-08-29,2018-12-29
17,"Bill Cosby",-,574,1964-06-27,1983-03-19
18,"Linkin Park","alternative metal",555,1990-10-06,2018-11-03
19,"Bob Marley & The Wailers",reggae,553,1975-05-10,2018-12-29
20,"Zac Brown Band","contemporary country",549,2008-10-04,2018-12-01
21,Journey,"album rock",543,1975-05-03,2018-12-29
22,Chicago,"adult standards",519,1969-05-17,2017-01-28
23,"Imagine Dragons","modern rock",505,1979-08-11,2018-12-29
24,"The Police","album rock",468,1979-02-24,2007-10-13
25,"Blake Shelton","contemporary country",458,2001-05-26,2018-12-15
26,Coldplay,"permanent wave",453,1969-12-27,2018-12-22
27,"Kendrick Lamar","conscious hip hop",442,2003-03-15,2018-12-29
28,"Fleetwood Mac","album rock",431,1969-02-08,2018-12-29
29,Beyoncé,"dance pop",427,1973-11-03,2018-11-03
30,"Luke Bryan","contemporary country",426,2007-08-18,2018-10-27
31,"The Weeknd","canadian contemporary r&b",422,1983-04-30,2018-12-29
32,"The Rolling Stones","album rock",420,1964-05-02,2018-11-17
33,Eagles,"album rock",417,1972-06-03,2018-12-29
34,"J. Cole","conscious hip hop",415,2010-10-02,2018-12-29
35,"Phil Collins","mellow gold",413,1981-03-14,2017-01-28
36,Nirvana,"alternative rock",410,1991-10-12,2018-12-29
37,"Bob Seger","album rock",408,1968-12-21,2018-12-29
38,"The Monkees","brill building pop",393,1966-09-10,2016-09-03
39,"Kanye West","chicago rap",381,1970-08-15,2018-11-17
40,"Florida Georgia Line","contemporary country",380,2012-12-22,2018-11-10
41,"Michael Bublé","adult standards",377,1969-06-14,2018-12-29
42,Nickelback,"alternative metal",368,1976-09-25,2018-03-10
43,Queen,"glam rock",364,1974-05-11,2018-12-29
44,"Bruce Springsteen","heartland rock",356,1975-07-26,2018-12-29
45,"Katy Perry","dance pop",356,1977-10-01,2018-02-10
46,"Mumford & Sons",folk-pop,350,2010-03-06,2018-12-29
47,"Kid Rock","alternative metal",345,1999-01-16,2018-10-27
48,"Michael Bolton","adult standards",343,1983-05-07,2017-03-04
49,Madonna,"dance pop",343,1983-09-03,2016-09-10
50,AC/DC,"album rock",338,1977-08-13,2018-12-29
