album_rank,song_name,artist_name,weeks_on_chart,first_week,last_week
1,Radioactive,"Imagine Dragons",87,2012-08-18,2014-05-10
2,Sail,AWOLNATION,79,2011-09-03,2014-03-22
3,"I'm Yours","Jason Mraz",76,2008-05-03,2009-10-10
4,"How Do I Live","LeAnn Rimes",69,1997-06-21,1998-10-10
5,"Counting Stars",OneRepublic,68,2013-07-06,2014-10-18
6,"Rolling in the Deep",Adele,65,2010-12-25,2012-04-14
7,"Before He Cheats","Carrie Underwood",64,2006-09-16,2007-12-01
8,"You And Me",Lifehouse,62,2005-02-12,2006-04-22
9,"Ho Hey","The Lumineers",62,2012-06-23,2013-08-24
10,Demons,"Imagine Dragons",61,2013-01-26,2014-07-05
11,"Need You Now","Lady Antebellum",60,2009-08-29,2010-10-16
12,"Macarena (Bayside Boys Mix) - (Tribute to Los Del Rio)","Studio Allstars",60,1995-09-02,1997-02-08
13,"Shape of You","Ed Sheeran",59,2017-01-28,2018-03-03
14,"All of Me","John Legend",59,2013-09-21,2014-12-06
15,"Thinking out Loud","Ed Sheeran",58,2014-10-25,2015-11-28
16,"Smooth (As Made Famous By Santana Featuring Rob Thomas)","The Karaoke Crew",58,1999-07-31,2000-09-02
17,"How to Save a Life","The Fray",58,2006-04-15,2007-06-02
18,"Use Somebody","Kings of Leon",57,2008-10-11,2010-03-13
19,Perfect,"Ed Sheeran",57,2017-03-25,2018-10-06
20,Higher,Creed,57,1999-09-11,2000-12-02
21,"Some Nights",fun.,56,2012-03-10,2013-03-30
22,"The Way You Love Me","Faith Hill",56,2000-03-11,2001-05-26
23,"I Don't Want to Wait","Paula Cole",56,1997-11-01,1998-11-21
24,"I Gotta Feeling","The Black Eyed Peas",56,2009-06-27,2010-07-17
25,Amazed,Lonestar,55,1999-06-05,2000-08-19
26,Missing,"Everything But The Girl",55,1995-08-12,1996-08-24
27,"Barely Breathing","Duncan Sheik",55,1996-11-30,1997-12-13
28,"Hey, Soul Sister",Train,54,2009-10-17,2010-10-23
29,Unwell,"Matchbox Twenty",54,2003-03-22,2004-03-27
30,"Hanging By A Moment",Lifehouse,54,2001-02-10,2002-02-16
31,"Wake Me Up",Avicii,54,2013-07-13,2018-05-05
32,"Stay With Me","Sam Smith",54,2014-04-19,2015-05-02
33,"Drops Of Jupiter (Tell Me)","Vitamin String Quartet",53,2001-03-17,2002-03-16
34,"Too Close",Next,53,1998-02-14,1999-02-13
35,Pompeii,Bastille,53,2013-08-31,2014-08-30
36,Breathe,"Faith Hill",53,1999-11-06,2000-11-04
37,Kryptonite,"3 Doors Down",53,2000-04-08,2001-04-07
38,"If I Die Young","The Band Perry",53,2010-07-24,2011-12-10
39,"Shut Up and Dance","WALK THE MOON",53,2014-11-22,2015-11-28
40,Thunder,"Imagine Dragons",52,2017-05-20,2018-05-05
41,"How's It Going to Be","Third Eye Blind",52,1997-12-06,1998-11-28
42,"Meant To Be","2017 Dynamo Hitz",52,2017-11-11,2018-10-27
43,"CAN’T STOP THE FEELING!","Rockabye Baby!",52,2016-05-28,2017-05-20
44,"That's What I Like","Bruno Mars",52,2016-12-10,2018-01-20
45,"Say You Won't Let Go","James Arthur",52,2016-11-12,2017-11-04
46,Stitches,"Shawn Mendes",52,2015-06-13,2016-06-04
47,"Truly Madly Deeply","Savage Garden",52,1997-12-06,1998-11-28
48,Believer,"Imagine Dragons",52,2017-02-25,2018-02-10
49,"Stressed Out","Twenty One Pilots",52,2015-05-16,2016-10-01
50,"Trap Queen","Fetty Wap",52,2015-02-07,2016-01-30
