song_id,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
0tgVpDi06FyKpA1z0VMD4v,263400,8,1,3,0.163000,0.599,0.44800,0.0000000,0.1060,-6.312,0.0232,0.1680,95.050
3lFf4DnT68QjQGB3iq1BJ9,163553,10,1,4,0.161000,0.671,0.66800,0.0000000,0.2190,-7.086,0.0851,0.4870,153.953
09IStsImFySgyp0pIQdqAc,184732,7,1,4,0.171000,0.753,0.65700,0.0000000,0.1120,-3.061,0.0449,0.4370,107.010
3ee8Jmje8o58CHK66QrVC2,166606,8,1,4,0.258000,0.740,0.61300,0.0037200,0.1230,-4.880,0.1450,0.4730,75.023
0U2pP3HpalMInP1lOhECsw,202998,6,1,4,0.478000,0.731,0.58700,0.0000000,0.1060,-8.577,0.0604,0.3730,144.025
6DCZcSspjsKoFjzjrWoCdn,198973,7,1,4,0.033200,0.754,0.44900,0.0000829,0.5520,-9.211,0.1090,0.3570,77.169
7dt6x5M1jzdTEt8oCbisTK,231267,10,1,4,0.354000,0.680,0.56300,0.0000000,0.1360,-5.843,0.0454,0.3740,145.028
4eWQlBRaTjPPUlzacqEeoQ,226973,0,1,4,0.181000,0.637,0.71300,0.0006370,0.1370,-4.333,0.0747,0.2430,129.923
0At2qAoaVjIwWNAqrscXli,256064,10,0,4,0.086200,0.561,0.77900,0.0000000,0.0780,-5.107,0.0531,0.2350,81.965
2ekn2ttSfGqwhhate0LSR0,209320,9,0,4,0.002610,0.762,0.70000,0.0000156,0.1530,-6.021,0.0694,0.6080,116.073
285pBltuF7vW8TeWk8hdRR,239836,6,0,4,0.349000,0.511,0.56600,0.0000000,0.3400,-7.230,0.2000,0.2180,83.903
7uzmGiiJyRfuViKKK3lVmR,131064,4,1,4,0.016100,0.710,0.78900,0.0000028,0.4510,-3.874,0.0722,0.7170,142.929
42fw0rxRO2xbesF6mJfd4Y,196747,11,1,4,0.031200,0.489,0.58100,0.0000000,0.1320,-5.731,0.0281,0.4940,86.016
6NFyWDv5CjfwuzoCkw47Xf,232253,9,0,4,0.216000,0.750,0.40400,0.0003570,0.0911,-10.178,0.0682,0.0499,95.045
2qT1uLXPVPzGgFOx4jtEuo,205920,9,0,4,0.040000,0.699,0.71300,0.0000031,0.2940,-5.507,0.0594,0.3540,121.993
1wjzFQodRWrPcQ0AnYnvQ9,197437,9,1,4,0.535000,0.752,0.50500,0.0000026,0.1040,-7.621,0.2530,0.4190,91.970
3CA9pLiwRIGtUBiMjbZmRw,210747,8,1,4,0.089100,0.586,0.90900,0.0001090,0.1190,-6.474,0.0705,0.7570,93.394
55S2PQgSMYAhgoTCcGCDfw,203418,7,0,4,0.016900,0.596,0.85400,0.0000000,0.1240,-5.114,0.4630,0.1520,120.274
08bNPGLD8AhKpnnERrAc6G,202621,9,0,4,0.205000,0.626,0.88000,0.0000000,0.1280,-2.384,0.0504,0.5340,95.079
1zB4vmk8tFRmM9UULNzbLB,187147,0,1,4,0.006710,0.605,0.82200,0.1340000,0.1470,-4.833,0.0438,0.2880,167.997
6QgjcU0zLnzq5OrUoSZ3OK,163253,1,0,4,0.041700,0.801,0.79500,0.0001130,0.0717,-5.115,0.0504,0.7540,79.028
2G7V7zsVDxg1yRsu7Ew9RJ,217925,1,1,4,0.058900,0.835,0.62600,0.0000600,0.3960,-5.833,0.1250,0.3500,91.030
0TlLq3lA83rQOYtrqBqSct,238614,7,1,4,0.016400,0.912,0.41200,0.0130000,0.1040,-8.074,0.1240,0.4220,154.983
6Qn5zhYkTa37e91HC1D7lb,201240,10,0,4,0.036200,0.672,0.65500,0.0000000,0.1170,-5.021,0.0311,0.5560,134.945
514rhnksEwHUh6LxXsQ4Y9,210240,6,1,4,0.098400,0.600,0.68300,0.0000013,0.1100,-6.271,0.0493,0.4940,102.036
5OCJzvD7sykQEKHH7qAC3C,197547,1,1,4,0.023300,0.602,0.65800,0.0000600,0.2370,-5.934,0.0558,0.2680,145.031
2QZ7WLBE8h2y1Y5Fb8RYbH,211360,5,1,4,0.057300,0.622,0.71200,0.0000000,0.1300,-7.321,0.0660,0.4870,140.025
2xLMifQCjDGFmkHkpNLD9h,312820,8,1,4,0.005130,0.834,0.73000,0.0000000,0.1240,-3.714,0.2220,0.4460,155.008
7y9iMe8SOB6z3NoHE2OfXl,181279,0,1,4,0.060400,0.675,0.75100,0.0000000,0.0893,-3.539,0.0296,0.6120,118.384
2FY7b99s15jUprqC0M5NCT,189467,2,1,4,0.217000,0.704,0.61100,0.0000000,0.0812,-6.112,0.0409,0.2200,100.000
1HXy5I3HTWq8OvxCn0z7G7,179507,9,1,4,0.263000,0.677,0.55600,0.0000000,0.1050,-6.544,0.0306,0.5210,80.009
52okn5MNA47tk87PeZJLEL,212120,5,0,4,0.298000,0.656,0.72100,0.0000000,0.1730,-5.665,0.1220,0.4680,148.066
2Yl4OmDby9iitgNWZPwxkd,210787,6,0,4,0.025600,0.820,0.56800,0.0000000,0.0952,-8.230,0.4110,0.5350,152.279
75ZvA4QfFiZvzhj2xkaWAh,223347,8,0,4,0.068900,0.556,0.53800,0.0000000,0.1960,-5.408,0.0382,0.2910,143.950
09mEdoA6zrmBPgTEN5qXmN,228373,1,1,3,0.170000,0.461,0.59300,0.0000000,0.3070,-4.954,0.0356,0.1750,134.170
0b9oOr2ZgvyQu88wzixux9,225773,5,1,4,0.117000,0.854,0.46300,0.0000000,0.3540,-6.159,0.1370,0.5490,120.024
2UVbBKQOdFAekPTRsnkzcf,190288,2,1,4,0.002990,0.815,0.81600,0.0000000,0.1590,-5.474,0.2690,0.4980,181.967
3T9CfDxFYqZWSKxd0BhZrb,190643,8,1,4,0.095900,0.655,0.60300,0.0000000,0.1070,-5.014,0.0555,0.4520,126.088
