album_id,album_name,popularity,total_tracks,album_type,artist_id
0053zlUdN0cONMTI7WjOyK,Fresh Flavor,4,10,album,4CVHH6NpR8WwHLYjgI4t7A
006GInRhIodRFgCNy07LPQ,Noise From The Basement,33,14,album,6GmanMVkSuu0Dsn86ZW9lK
009d83fu2guwouIwqr7i9E,Shrek 2,58,14,compilation,0LyfQWJT6nXafLPZqxe9Of
00AqyM1qnNmMsljL4AwZDc,Electric Messiah,43,9,album,1eiIIImNeUj3vpaocWqoOf
00axQdzvXO6SovtdSJU9hi,Coming Back To You,5,13,album,0X9gb2eyRES9z1wiIQExLL
00AZSen3i0S6H4roDD1Rku,Suddenly Yours,33,11,album,67tSTaaEena434STFKeMJJ
00b7aNyVFLu17b7eBk9mlV,Roll On,36,12,album,06nsZ3qSOYZ2hPVIMcr1IN
00BBpx0gG4KfQtxSJBPKUZ,Obscured by Clouds,53,10,album,0k17h0D3J5VfsdmQ1iZtE9
00BbQk8JTzSQBEuZAQz5oV,Fire & Fleet & Candlelight,29,14,album,5exO2eW84QucBhrRhcK76x
00by6GQn2xgkzp2MOO7BZp,Cowboy,36,11,album,0z5DFXmhT4ZNzWElsM7V89
00cnM7mpQpaSNI27MooKp7,Goin' South,2,13,compilation,0LyfQWJT6nXafLPZqxe9Of
00CO8WwZ8YgoSfB2k7ERI4,Back To Front,29,11,album,3RwQ26hR2tJtA8F9p2n7jG
00COZ2JB0OTRmAzlgX7TrF,You Never Know Who Your Friends Are,6,12,album,49JvZ17o0VaAmXaJv5kZlv
00DfC233MMx7AG2iLSWcAb,The Best Of Jimmy Smith,37,25,album,5GXruybcLmXPjR9rKKFyS6
00DKLvomMIGBjB3NvYDWfU,Trap Or Die 3,58,16,album,4yBK75WVCQXej1p04GWqxH
00eiw4KOJZ7eC3NBEpmH4C,Use Your Illusion II,76,14,album,3qm84nBOXUEQ2vnTfUTTFC
00eZkuOoGTcc6pKBDG7NbI,All A Man Should Do,32,10,album,1MspPfENB9nzFGaagXmF7R
00F2UGlUi4HdfvEk0ciI8T,Woven & Spun,32,13,album,0KSjxPoT71Dq8qcgfWTdHh
00FBw6sfcHpA30Kc2HLm48,O Holy Night,9,12,album,25Kfw0CRHgjl9oCgMfEYz7
00fCgztFLF5IExshsp50cO,Those Whom the Gods Detest,30,10,album,3v3VSKylQE69ztn5TUVlFE
00GBY6a0DTH3utPXArfULt,This Is How We Do It,50,1,single,166MwtUacodwKnPxyroDV3
00GGSSX3CszzwdwB4gNj55,Jean,28,11,album,7LfRnzGM0wRSyS5mmAwJbv
00GMga21QXevpiQwReoYhV,Sound-System,15,7,album,2ZvrvbQNrHKwjT7qfGFFUW
00GTXwYxb2MB1zCbdIMHYL,Worship & Faith,47,20,album,1pTuR132U5b4Rizal2Pr7m
00H1JwjiuSU0zZmPaIYZAp,New Constellation,39,11,album,4j7EVY3kuDwLPfD2jfC7LC
00hVMpFWegdBKaNDAP55Bd,No Gravity,63,10,album,4M6Z1wubeKtwPqbjJygTOc
00HxpiHXCijBNBeB8F3OOE,"The Best Of Dean Martin, Vol. 2",3,16,album,7s8XWFcaNduOjl2pltABSR
