artist_id,artist_name,followers,popularity,artist_type,genres,main_genre
001aJOc7CSQVo3XzoLG4DK,One Way,80667,48,-,"['classic soul', 'disco', 'electro', 'funk', 'new jack swing', 'post-disco', 'quiet storm', 'soul']","Blues & Soul"
003kZCrZhoxCckVJ2jCiJC,Peter Wolf,7229,35,-,['roots rock'],"Rock"
004SoDJzvraRmrdBFxLjUj,Max-A-Million,18,6,-,[],"Unknown"
0096k2GLGYz1AYfM75EsJX,OXO,404,10,-,[],"Unknown"
00dwwnz3V4kRfu3UFYpJLz,Cherub,122551,60,-,[],"Unknown"
00f43SIUld0KU349dnwsmC,Randy Meisner,7267,24,-,['soft rock'],"Rock"
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,8750718,86,singer,"['dance pop', 'pop']","Pop"
00LOnYkeGDHqysY5LvyiqT,Dubstep Kings,48141,19,-,[],"Unknown"
00me4Ke1LsvMxt5kydlMyU,Cosculluela,2587937,78,singer,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'tropical']","Latin"
00Nnsh2ykMBYnCDsSFGXSY,Earl Klugh,81089,52,-,"['jazz guitar', 'smooth jazz']","Jazz"
00nOM3ZEuz8vQmmFlYOfaG,The Rowans,104,5,band,[],"Unknown"
00ntdezS4XzDfCLsH2vOoc,Rodway,13,2,-,[],"Unknown"
00oL7zWxmWveTsKF7DnIRd,Kyle Dixon & Michael Stein,48555,68,-,"['horror synth', 'soundtrack']","Electronic"
00ruiMhDITIvGHUzZxXZF2,Gertrude Berg,8,0,-,[],"Unknown"
00sAr10UTV1JZtHqxsLVn4,Black Mountain,71411,47,band,"['garage rock', 'modern blues rock', 'neo-psychedelic', 'punk blues', 'space rock', 'stoner rock', 'vancouver indie']","Rock"
00sAT5YX8W3xNd1EuqyHw9,Dada Life,374269,58,DJ,"['big room', 'complextro', 'dance pop', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'progressive house']","Electronic"
00tVTdpEhQQw1bqdu8RCx2,Blue Ã–yster Cult,708900,68,band,"['album rock', 'art rock', 'blues-rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock', 'soft rock']","Rock"
00UOluVoYY4F2blO5DmgRj,Kebo Gotti,844,52,rapper,['atl trap'],"Hip Hop"
00xtj0ItFK8vjtTf0T40Iz,Pop Beatz,339,18,-,[],"Unknown"
00YTqRClk82aMchQQpYMd5,Our Last Night,501024,69,band,"['metalcore', 'pop punk', 'post-screamo', 'screamo']","Metal"
00Z3UDoAQwzvGu13HoAM7J,Skizzy Mars,228659,66,rapper,"['indie pop rap', 'pop', 'pop rap', 'rap', 'underground hip hop']","Hip Hop"
01056gItT5lFJEvQnFOByX,Shapeless,20711,51,-,['brazilian edm'],"Electronic"
010JjFqFcVyJmc2G56puZ2,General Larry Platt,252,11,rapper,[],"Unknown"
014WIDx7H4BRCHB1faiisK,Los Tucanes De Tijuana,639635,72,band,"['banda', 'grupera', 'norteno', 'regional mexican']","Latin"
01aC2ikO4Xgb2LUpf9JfKp,Gary Clark Jr.,581042,67,-,"['blues-rock', 'electric blues', 'funk', 'garage rock', 'modern blues', 'modern blues rock', 'soul blues', 'texas blues']","Blues & Soul"
01C9OoXDvCKkGcf735Tcfo,Serge Gainsbourg,263988,62,singer,"['chanson', 'french rock']","Jazz"
01cBIhcUXGSuwSLphfGGQB,The Capitols,31,14,-,[],"R&B & Funk"
01crEa9G3pNpXZ5m7wuHOk,Red,491122,64,band,"['alternative metal', 'christian alternative rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']","Metal"
01hRNr3yF5bYnPq4wZ88iI,Tommy James & The Shondells,118680,59,band,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'rock', 'rock-and-roll', 'rockabilly', 'soft rock']","Pop"
01LfDhfF9mkpmEwRalZCmO,Ryan Star,31730,45,singer,"['neo mellow', 'pop rock']","R&B & Funk"
01lz5VBfkMFDteSA9pKJuP,The Click Five,129943,55,band,"['boy band', 'neo mellow', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'pop rock']","Pop"
01N1aZStXA4yGvkz4vRXtJ,Doc Watson,45041,50,singer,"['american folk revival', 'appalachian folk', 'bluegrass', 'country rock', 'folk', 'jam band', 'old-time', 'progressive bluegrass', 'singer-songwriter', 'traditional country', 'traditional folk']","Country & Folk"
01PBXLThJADrhufsPS5tER,Audio Adrenaline,103114,48,band,"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']","Christian"
01Ppu7N8uYJI8SAONo2YZA,Melissa Etheridge,211305,57,singer,"['folk', 'folk-pop', 'heartland rock', 'lilith', 'pop rock', 'singer-songwriter']","Country & Folk"
01QifrMKfKYrfMWuog70z6,Instrumental All Stars,676,44,-,[],"Unknown"
01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,1213719,71,rapper,"['chicago rap', 'conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']","Hip Hop"
01rgao9OzfBm2BOHWJpi1Y,Espinoza Paz,1086412,68,-,"['banda', 'grupera', 'norteno', 'ranchera', 'regional mexican']","Latin"
01rHoPysrUwLE4HprDreGZ,Hudson & Landry,166,7,-,[],"Unknown"
01TUWWKEQpT1J1SyHSKYkR,Cool Sensation,267,21,-,[],"Unknown"
01U4snBkRWq0FBrK3P1mwM,Frankee,2585,35,singer,[],"Unknown"
01uI1SCsA0pLwWa2ENV6Gv,The Booth Brothers,13937,40,-,"['country gospel', 'family gospel', 'southern gospel']","Christian"
01UrELDCYrQ6wrFArNbidS,Pearls Before Swine,5506,26,-,"['canterbury scene', 'psychedelic folk', 'psychedelic rock']","Rock"
