year,is_billboard,avg_danceability,avg_energy,avg_valence,avg_tempo,avg_speechiness,avg_acousticness,avg_loudness,avg_duration_min,explicit_percentage,total_songs
1964,1,0.516319,0.544757758,0.67989655,121.7178362,0.05283276,0.583001724,-9.9620431,2.64757644,0,116
1965,1,0.5194733,0.52209,0.65403333,117.0581533,0.043008,0.501292467,-10.4265933,2.74796956,0,150
1966,1,0.5316631,0.524844919,0.65553262,118.3829733,0.04532781,0.46908354,-10.5485348,2.87558939,0,187
1967,1,0.5490138,0.507183486,0.64766514,117.8957936,0.04596514,0.472802073,-10.4535963,2.88349067,0,218
1968,1,0.5257963,0.509428888,0.63327704,119.5083296,0.05124037,0.429975593,-10.9873815,2.99121735,0,270
1969,1,0.5159228,0.530534146,0.65417033,117.7104187,0.04611016,0.405980988,-10.8619878,3.33830136,0,246
1970,1,0.5266495,0.537294392,0.66557944,120.4524252,0.0481757,0.389841065,-11.0859346,3.44764268,0,214
1971,1,0.5359819,0.559478733,0.64245023,116.8201312,0.04983394,0.380997253,-11.0980226,3.72451735,0.905,221
1972,1,0.5490182,0.558657664,0.64116131,119.4470036,0.0554,0.412034774,-10.8278102,3.66656661,0,274
1973,1,0.5535259,0.575425185,0.65304815,121.020837,0.05057296,0.378178207,-11.0630519,4.00664031,0,270
1974,1,0.5741262,0.576644859,0.67968785,118.7136028,0.05496121,0.377867276,-10.6121636,3.8992838,0,214
1975,1,0.5647266,0.600928125,0.64982422,119.6433398,0.05178789,0.309918957,-10.5629492,4.23801868,0,256
1976,1,0.5893741,0.622898888,0.68714815,118.9789556,0.0542363,0.307681678,-10.1482667,4.18219698,0,270
1977,1,0.5993692,0.591926923,0.65684192,119.7013462,0.05017538,0.298527277,-10.3921308,4.03042173,0,260
1978,1,0.590735,0.584809829,0.66235641,119.7681966,0.04700769,0.260819227,-10.536641,4.23784088,0,234
1979,1,0.6099202,0.604339075,0.67136765,124.7946933,0.05023403,0.236141542,-10.460521,4.33911043,0.4202,238
1980,1,0.6279692,0.630261538,0.69710718,125.7845026,0.04530462,0.217308846,-9.7054564,4.17866453,0.5128,195
1981,1,0.5987252,0.594071621,0.64268919,122.7891396,0.04976261,0.249816342,-10.5077613,4.06187155,0,222
1982,1,0.6300921,0.620456066,0.68310502,121.4845523,0.0488477,0.232017916,-10.084954,4.13123808,0.4184,239
1983,1,0.6162477,0.643280373,0.66614907,122.101715,0.04719393,0.178509799,-10.0505794,4.2856662,0.9346,214
1984,1,0.6229602,0.656074336,0.64878319,124.1180841,0.04331814,0.204320199,-10.1647522,4.34383754,0.885,226
1985,1,0.6297469,0.672977178,0.68145311,121.2426224,0.04496141,0.192602253,-10.6133983,4.46433402,0,241
1986,1,0.6169136,0.637308641,0.65347819,118.1756872,0.04461193,0.188275247,-10.7787407,4.40588738,0,243
1987,1,0.615542,0.653356643,0.65112308,118.8862622,0.04767343,0.202505654,-10.7312517,4.25960857,0.6993,286
1988,1,0.6201392,0.638537864,0.6578945,119.8009385,0.04670032,0.200698579,-10.9320485,4.22574488,1.2945,309
1989,1,0.6026877,0.649415615,0.6325973,119.0314384,0.04908829,0.230043649,-10.4688679,4.27926812,0,333
1990,1,0.6019479,0.65021875,0.63264236,121.3495035,0.0574125,0.214679031,-10.1042153,4.22227234,0.6944,288
1991,1,0.6184125,0.633278125,0.60596688,121.3745063,0.05548563,0.202582919,-10.2403531,4.38875974,2.5,320
1992,1,0.6180452,0.620822289,0.62555301,119.8010181,0.05671355,0.218272111,-10.2062801,4.0749121,3.9157,332
1993,1,0.6322401,0.604948587,0.61569492,118.148548,0.07983277,0.231287099,-10.4067881,4.13900085,9.322,354
1994,1,0.6310683,0.617579136,0.6075723,118.86,0.07415755,0.224347975,-9.0775755,4.12017188,12.9496,278
1995,0,0.5642731,0.550383735,0.53697425,117.4929357,0.08326163,0.346709294,-11.0351075,4.10317018,6.8855,10631
1995,1,0.6396488,0.610883928,0.6137369,116.8438214,0.07838542,0.269229976,-9.3140417,4.05656151,11.6071,336
1996,0,0.5687808,0.544167372,0.53480598,117.3884485,0.08329889,0.362771346,-10.840125,4.14713146,6.7069,10273
1996,1,0.6054382,0.591370786,0.58532107,117.2381966,0.06871994,0.293795037,-9.0961208,3.9477117,8.9888,356
1997,0,0.5677072,0.563601793,0.5297362,116.8695362,0.08397861,0.346136211,-10.2262155,4.14570569,7.2754,11051
