song_id,year_end_score,is_pop,year,artist_id,song_name,artist_name,parent_genre
0tgVpDi06FyKpA1z0VMD4v,5617,1,2018,6eUKZXaKkcviH0Ku9w2n3V,Perfect,Ed Sheeran,Pop
09IStsImFySgyp0pIQdqAc,4590,1,2018,6WY7D3jk8zTrHtmkqqo5GI,The Middle,Maren Morris,Country & Folk
3ee8Jmje8o58CHK66QrVC2,4430,1,2018,15UsOTVnJzReFVN1VCnxy4,SAD!,XXXTENTACION,Hip Hop
6DCZcSspjsKoFjzjrWoCdn,4266,1,2018,3TVXtAsR1Inumwj472S9r4,God's Plan,Drake,Hip Hop
7dt6x5M1jzdTEt8oCbisTK,3864,1,2018,246dkjvS1zLTtiykXe5h60,Better Now,Post Malone,Hip Hop
4eWQlBRaTjPPUlzacqEeoQ,3733,1,2018,4nDoRrQiYLoBzwC5BhVJzF,Never Be the Same,Camila Cabello,Pop
0At2qAoaVjIwWNAqrscXli,3681,1,2018,7HkdQ0gt53LP4zmHsL0nap,Boo'd Up,Ella Mai,Pop
2ekn2ttSfGqwhhate0LSR0,3598,1,2018,6M2wZ9GZgrQXHCFfjv46we,New Rules,Dua Lipa,Pop
285pBltuF7vW8TeWk8hdRR,3551,1,2018,4MCBfE4596Uoi2O4DtmEMz,Lucid Dreams,Juice WRLD,Hip Hop
7uzmGiiJyRfuViKKK3lVmR,3519,1,2018,4GvEc3ANtPPjt1ZJllr5Zl,Mine,Bazzi,Pop
42fw0rxRO2xbesF6mJfd4Y,3265,1,2018,7z5WFjZAIYejWy0NI5lv4T,Tequila,Dan + Shay,Country & Folk
6NFyWDv5CjfwuzoCkw47Xf,3251,1,2018,06HL4z0CvFAxyc27GXpf02,Delicate,Taylor Swift,Pop
2qT1uLXPVPzGgFOx4jtEuo,3023,1,2018,66CXWjxzNUsdJxJ2JdwvnR,no tears left to cry,Ariana Grande,Pop
1wjzFQodRWrPcQ0AnYnvQ9,3013,1,2018,5JZ7CnR6gTvEMKX4g70Amv,I Like Me Better,Lauv,Pop
3CA9pLiwRIGtUBiMjbZmRw,2825,1,2018,3TVXtAsR1Inumwj472S9r4,Nice For What,Drake,Hip Hop
55S2PQgSMYAhgoTCcGCDfw,2723,1,2018,5Rl15oVamLq7FbSb0NNBNy,Youngblood,5 Seconds of Summer,Pop
08bNPGLD8AhKpnnERrAc6G,2713,1,2018,64KEffDW9EtZ1y2vBYgq8T,FRIENDS,Marshmello,Electronic
1zB4vmk8tFRmM9UULNzbLB,2660,1,2018,53XhwfbYqKCa1cC15pYq2q,Thunder,Imagine Dragons,Rock
6QgjcU0zLnzq5OrUoSZ3OK,2527,1,2018,4kI8Ie27vjvonwaB2ePh8T,Feel It Still,Portugal. The Man,Pop
2G7V7zsVDxg1yRsu7Ew9RJ,2447,1,2018,3TVXtAsR1Inumwj472S9r4,In My Feelings,Drake,Hip Hop
0TlLq3lA83rQOYtrqBqSct,2430,1,2018,3TVXtAsR1Inumwj472S9r4,Nonstop,Drake,Hip Hop
6Qn5zhYkTa37e91HC1D7lb,2372,1,2018,53XhwfbYqKCa1cC15pYq2q,Whatever It Takes,Imagine Dragons,Rock
514rhnksEwHUh6LxXsQ4Y9,2368,1,2018,0C8ZW7ezQVs4URX5aX7Kqx,Back To You,Selena Gomez,Pop
5OCJzvD7sykQEKHH7qAC3C,2283,1,2018,66CXWjxzNUsdJxJ2JdwvnR,God is a woman,Ariana Grande,Pop
2QZ7WLBE8h2y1Y5Fb8RYbH,2189,1,2018,7n2wHs1TKAczGzO7Dd2rGr,In My Blood,Shawn Mendes,Pop
2xLMifQCjDGFmkHkpNLD9h,2171,1,2018,0Y5tJX1MQlPlqiwlOH1tJY,SICKO MODE,Travis Scott,Pop
7y9iMe8SOB6z3NoHE2OfXl,2161,1,2018,26VFTg2z8YR0cCuwLzESi2,Bad At Love,Halsey,Pop
2FY7b99s15jUprqC0M5NCT,2056,1,2018,53XhwfbYqKCa1cC15pYq2q,Natural,Imagine Dragons,Rock
1HXy5I3HTWq8OvxCn0z7G7,2046,1,2018,3oSJ7TBVCWMDMiYjXNiCKE,Heaven,Kane Brown,Country & Folk
52okn5MNA47tk87PeZJLEL,2031,1,2018,6fOMl44jA4Sp5b9PpYCkzz,Let You Down,NF,Hip Hop
2Yl4OmDby9iitgNWZPwxkd,2004,1,2018,4kYSro6naA4h99UJvo89HB,Be Careful,Cardi B,Pop
75ZvA4QfFiZvzhj2xkaWAh,1917,1,2018,246dkjvS1zLTtiykXe5h60,I Fall Apart,Post Malone,Hip Hop
09mEdoA6zrmBPgTEN5qXmN,1916,1,2018,1Xyo4u8uXC1ZmMpatF05PJ,Call Out My Name,The Weeknd,R&B & Funk
0b9oOr2ZgvyQu88wzixux9,1853,1,2018,73sIBHcqh3Z3NyqHKZ7FOL,This Is America,Childish Gambino,Hip Hop
2UVbBKQOdFAekPTRsnkzcf,1852,1,2018,6oMuImdp5ZcFhWP0ESe6mG,Stir Fry,Migos,Hip Hop
3T9CfDxFYqZWSKxd0BhZrb,1850,1,2018,04gDigrS5kc9YWfZHwBETP,Wait,Maroon 5,Pop
0JP9xo3adEtGSdUEISiszL,1768,1,2018,15UsOTVnJzReFVN1VCnxy4,Moonlight,XXXTENTACION,Hip Hop
1ZAyjvIk9YiD76yYy0TEG6,1767,1,2018,1pPmIToKXyGdsCF6LmqLmI,Plug Walk,Rich The Kid,Hip Hop
6CTWathupIiDs7U4InHnDA,1715,1,2018,7HkdQ0gt53LP4zmHsL0nap,Trip,Ella Mai,Pop
7AFASza1mXqntmGtbxXprO,1678,1,2018,15UsOTVnJzReFVN1VCnxy4,changes,XXXTENTACION,Hip Hop
2zMDMCtGzTOD8qVHyznGIl,1669,1,2018,3FfvYsEGaIb52QPXhg4DcH,You Make It Easy,Jason Aldean,Country & Folk
4OafepJy2teCjYJbvFE60J,1649,1,2018,66CXWjxzNUsdJxJ2JdwvnR,breathin,Ariana Grande,Pop
7gvd8xj4QgPqbQSsn5pV7d,1625,1,2018,6S2OmqARrzebs0tKUEyXyp,Sorry Not Sorry,Demi Lovato,Pop
3qN5qMTKyEEmiTZD38BNTT,1587,1,2018,3TVXtAsR1Inumwj472S9r4,I'm Upset,Drake,Hip Hop
5Z3GHaZ6ec9bsiI5BenrbY,1571,1,2018,6LuN9FCkKOj5PcnpouEgny,Young Dumb & Broke,Khalid,Pop
7qiZfU4dY1lWllzX7mPBI3,1545,1,2018,6eUKZXaKkcviH0Ku9w2n3V,Shape of You,Ed Sheeran,Pop
4HbiCvH1R7mVOJ7KY7JQBD,1530,1,2018,7gZfnEnfiaHzxARJ2LeXrf,GUMMO,6ix9ine,Hip Hop
6Up545NUflOiXo8cEraH49,1514,1,2018,40LHVA5BTQp9RxHOQ9JPYj,You Say,Lauren Daigle,Christian
1e4rwBPVI32vZtTJu7mJ4J,1509,1,2018,0hCNtLu0JehylgoiP8L4Gh,Chun-Li,Nicki Minaj,Pop
6XcfKZvJio9Z0fQy11GnNX,1505,1,2018,4KJ6jujcNPzOyhdNoiNftp,broken,lovelytheband,Pop
4L9Ds4mpD3SuYoWwFUlv16,1474,1,2018,3b8QkneNDz4JHKKKlLgYZg,Simple,Florida Georgia Line,Country & Folk
1rqqCSm0Qe4I9rUvWncaom,1464,1,2018,20JZFwl6HVl6yg8a4H3ZqK,High Hopes,Panic! At The Disco,Pop
1xzBco0xcoJEDXktl7Jxrr,1438,1,2018,2RDOrhPqAM4jzTRCEb19qX,Mo Bamba,Sheck Wes,Hip Hop
5PIfH6BzcmH04RDmtzF0BN,1423,1,2018,7wlFDEWiM5OoIAt8RSli8b,Outside Today,YoungBoy Never Broke Again,Hip Hop
0OWZFobGSIW9GrSlQ9C5pc,1377,1,2018,6x2LnllRG5uGarZMsD4iO8,Marry Me,Thomas Rhett,Country & Folk
04ZTP5KsCypmtCmQg5tH9R,1362,1,2018,64M6ah0SkkRsnPGtGiRAbb,I'm a Mess,Bebe Rexha,Pop
39N9RPD9MRb5WmoLzNzPeA,1362,1,2018,1SupJlEpv7RS2tPNRaHViT,X,Nicky Jam,Latin
6wmAHw1szh5RCKSRjiXhPe,1347,1,2018,6VuMaDnrHyPL1p4EHjYLi7,How Long,Charlie Puth,Pop
2ZFrEp20VO25BXYhMxh0GW,1335,1,2018,3grHWM9bx2E9vwJCdlRv9O,Get Along,Kenny Chesney,Country & Folk
4VXIryQMWpIdGgYR4TrjT1,1334,1,2018,4MCBfE4596Uoi2O4DtmEMz,All Girls Are The Same,Juice WRLD,Hip Hop
4lFfMRH0YH4pW5gczTDbNC,1329,1,2018,3nViOFa3kZW8OMSNOzwr98,Medicine,Queen Naija,R&B & Funk
6KuqAtoeVzxAYOaMveLNpH,1308,1,2018,4VMYDCV2IEDYJArk749S6m,Dura,Daddy Yankee,Latin
4gB7HrYHbJVJ5RFOjxmoq4,1285,1,2018,718COspgdWOnwOFpJHRZHS,One Number Away,Luke Combs,Country & Folk
2VIPU72L6tIR4w8J8ap6Kp,1264,1,2018,0fiWOxhsBsQQvFDtxUQWo0,Mercy,Brett Young,Country & Folk
3wScL5W8H40zzCKN0atfBk,1205,1,2018,55Aa2cqylxrFIXC767Z865,Uproar,Lil Wayne,Hip Hop
698eQRku24PIYPQPHItKlA,1198,1,2018,718COspgdWOnwOFpJHRZHS,She Got the Best of Me,Luke Combs,Country & Folk
4PpuH4mxL0rD35mOWaLoKS,1192,1,2018,5wPoxI5si3eJsYYwyXV4Wi,Lemon,N.E.R.D,Hip Hop
43ZyHQITOjhciSUUNPVRHc,1175,1,2018,3wyVrVrFCkukjdVIdirGVY,Gucci Gang,Lil Pump,Hip Hop
7yotKA30dwTKNEGomV9ZsI,1169,1,2018,6l3HvQ5sa6mXTsMTB19rO5,KOD,J. Cole,Hip Hop
1mXVgsBdtIVeCLJnSnmtdV,1165,1,2018,2wY79sveU1sp5g7SokKOiI,Too Good At Goodbyes,Sam Smith,Pop
5PTG6rrL6EPFD9E2QMI2pl,1146,1,2018,0WOxhx4hikIsyF3CRPLC8W,JAPAN,Famous Dex,Hip Hop
76cy1WJvNGJTj78UqeA5zr,1108,1,2018,6M2wZ9GZgrQXHCFfjv46we,IDGAF,Dua Lipa,Pop
0wbnC9AUenxp613TYaJsGK,1094,1,2018,6oMuImdp5ZcFhWP0ESe6mG,Narcos,Migos,Hip Hop
5p7ujcrUXASCNwRaWNHR1C,1094,1,2018,26VFTg2z8YR0cCuwLzESi2,Without Me,Halsey,Pop
2hl6q70unbviGo3g1R7uFx,1064,1,2018,6S2OmqARrzebs0tKUEyXyp,Échame La Culpa,Demi Lovato,Pop
33471tzU1VghDg9zNgGRpz,1033,1,2018,6y8XlgIV8BLlIg1tT1R10i,Hotel Key,Old Dominion,Country & Folk
0pqnGHJpmpxLKifKRmU6WP,1022,1,2018,53XhwfbYqKCa1cC15pYq2q,Believer,Imagine Dragons,Rock
1MKZaAEx8RrzoQjHhVuvgs,1020,1,2018,6S2OmqARrzebs0tKUEyXyp,Tell Me You Love Me,Demi Lovato,Pop
1vNoA9F5ASnlBISFekDmg3,1016,1,2018,0eI3X5rAzHRZVe5FPk4MN1,Zombie,Bad Wolves,Rock
79LAFAkR1ATb4iIQvZuCL0,1014,1,2018,0BvkDsjIUla7X0k6CSWh1I,Most People Are Good,Luke Bryan,Country & Folk
