song_name,popularity,explicit,song_type,release_date_standard,song_id,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
I Don't Want A Lover,53,0,"Solo",1/1/1989,000u1dTg7y1XCDXi80hbBX,300440,7,1,4,0.181,0.763,0.44,0.000457,0.114,-13.11,0.0388,0.421,120.492
True Colors,0,0,"Solo",3/1/2010,002pGYO81GoXdB8uNqB4w8,215814,2,1,4,0.0063,0.6,0.153,0.855,0.0559,-14.028,0.0492,0.255,172.05
Growing Pains,59,0,"Solo",6/15/2018,003eoIwxETJujVWmNFMoZy,193680,1,0,4,0.0822,0.353,0.755,0,0.39,-6.276,0.733,0.437,191.153
"Swing, Swing",65,0,"Solo",10/15/2002,003FTlCpBTM4eSqYSWPv4H,233267,7,1,4,0.000065,0.553,0.717,0.128,0.0385,-5.857,0.0318,0.318,127.947
You Better Wait,30,0,"Solo",7/15/1994,004ZH9ISUSEwansKKbUdJs,291800,7,1,4,0.236,0.348,0.924,0,0.102,-3.048,0.0945,0.0869,114.117
Get It On,25,0,"Solo",1/1/1971,006yvCdaWUS79qp2Ip3Hdl,179147,5,1,4,0.487,0.409,0.902,0.00358,0.035,-5.714,0.1,0.728,135.797
Brokenheartsville,53,0,"Solo",1/1/2011,007n10xGvSbc7dKgAORVIq,231347,10,1,4,0.142,0.668,0.65,0.000325,0.0956,-4.351,0.0228,0.577,103.954
Locked Up,56,1,"Solo",1/1/2004,00BHe2yBtdOzhKPmI7rpTE,235067,7,1,4,0.023,0.818,0.579,0,0.107,-4.475,0.101,0.354,89.987
Totally Hot,12,0,"Solo",4/13/2018,00boa7LL0M0FvUOslpdGCR,270032,0,1,4,0.000878,0.504,0.724,0.0000692,0.212,-8.552,0.0386,0.523,143.999
Wigwam,37,0,"Solo",6/8/1970,00cs7mlkTcIIoWnm8G0U0l,188253,0,1,4,0.755,0.407,0.47,0.0216,0.0976,-8.64,0.037,0.227,138.471
"Baby, I'm Back",51,1,Collaboration,1/1/2005,00da5UpHHr2CcmAedVX3Be,219187,9,0,4,0.0476,0.901,0.391,0,0.102,-4.421,0.0934,0.77,100.018
Take the Time (Remastered),11,0,"Solo",1/1/1982,00drgzklCYUPHnEDRi7ROJ,333560,9,1,4,0.0961,0.49,0.719,0.000175,0.12,-7.87,0.0355,0.864,181.448
Wouldn't It Be Good,58,0,"Solo",1/1/1984,00FDHurakzVEiPutdUxXXq,277053,2,0,4,0.169,0.655,0.705,0.0139,0.0698,-8.529,0.0285,0.749,97.007
Give It To Her,41,0,"Solo",1/1/2005,00FU5uypELwgQuM9IbFC6G,209053,9,0,5,0.0918,0.6,0.583,0,0.0992,-6.617,0.281,0.763,126.517
Tender Lover,34,0,"Solo",7/7/1989,00GfGwzlSB8DoA0cDP2Eit,259267,5,1,4,0.226,0.743,0.86,0.000422,0.0513,-6.346,0.0445,0.687,102.459
